,City,Country,Lat,Lng,Max Temp,Wind Speed,Cloudiness,Humidity,Date
273,Isangel,VU,-19.55,169.27,78.8,9.17,75,83,1561504130
274,Gillette,US,44.29,-105.5,78.01,12.75,1,33,1561504130
275,Abu Samrah,SY,35.3,37.18,78.19,8.86,0,45,1561504131
276,Sechura,PE,-5.56,-80.82,67.21,12.8,6,78,1561504131
277,Saint-Leu,RE,-21.15,55.28,71.6,6.93,100,83,1561504131
278,Pouembout,NC,-21.12,164.9,73.87,11.43,52,83,1561504131
279,Tabou,CI,4.42,-7.36,74.41,4.83,100,92,1561504131
280,Fairmont,US,40.64,-97.59,82.0,4.7,1,65,1561504102
281,Lufilufi,WS,-13.87,-171.6,86.0,8.05,40,66,1561504132
282,Napier,NZ,-39.49,176.92,54.0,1.99,0,65,1561504132
283,Bethel,US,60.79,-161.76,66.2,6.93,75,63,1561503842
284,Mishan,CN,45.55,131.88,75.85,10.92,89,67,1561504132
285,Road Town,VG,18.42,-64.62,84.2,6.93,40,74,1561503870
286,Ovre Ardal,NO,61.32,7.8,47.41,1.12,100,95,1561504132
287,Udachnyy,RU,66.42,112.4,68.0,2.24,0,49,1561504132
288,Darab,IR,28.75,54.55,70.63,1.52,0,20,1561504133
289,Payo,ID,-3.75,103.64,66.13,3.36,40,84,1561504133
290,Caxito,BR,-22.65,-42.51,71.6,6.93,0,94,1561504133
291,Saint-Pierre,FR,48.95,4.24,78.8,3.36,0,50,1561504133
292,Baykit,RU,61.68,96.39,69.37,1.79,92,40,1561504133
293,Rosarito,CO,4.91,-75.23,80.6,4.7,40,77,1561504134
294,Mizdah,LY,31.45,12.98,81.07,9.01,0,30,1561504134
295,Hasaki,JP,35.73,140.83,75.0,2.24,40,88,1561504134
296,Magdagachi,RU,53.45,125.8,54.43,5.3,90,88,1561504134
297,South Sioux City,US,42.47,-96.41,84.0,3.91,40,42,1561504053
298,Karratha,AU,-20.74,116.85,69.73,5.88,52,25,1561504134
299,Mafeteng,LS,-29.82,27.24,39.85,4.79,29,38,1561504135
300,Toppenish,US,46.38,-120.31,80.01,11.41,40,22,1561504135
301,Rantepao,ID,-2.97,119.9,62.89,2.37,3,85,1561504135
302,Den Helder,NL,52.96,4.76,71.01,1.12,52,94,1561504135
303,Linjiang,CN,41.81,126.91,66.85,4.0,88,65,1561504135
304,Hualmay,PE,-11.1,-77.61,62.89,18.3,60,85,1561503940
305,Yumen,CN,40.29,97.04,69.37,4.47,100,33,1561504092
306,Bethlehem,US,40.62,-75.38,86.0,9.17,1,48,1561504004
307,Fethiye,TR,36.62,29.12,73.4,3.36,0,88,1561503912
308,Omboue,GA,-1.57,9.26,75.49,14.7,9,80,1561504136
309,Sakaraha,MG,-22.91,44.53,59.11,5.3,0,89,1561504136
310,Ixtapa,MX,20.71,-105.21,91.4,17.22,20,49,1561504136
311,Alto Araguaia,BR,-17.32,-53.22,65.23,4.14,0,59,1561504137
312,Knysna,ZA,-34.04,23.05,53.6,5.82,79,81,1561503837
313,Tilichiki,RU,60.47,166.1,47.95,6.89,92,93,1561504009
314,Arman,RU,59.7,150.17,58.21,8.55,54,51,1561504137
315,Skibbereen,IE,51.55,-9.27,60.8,2.24,75,93,1561504137
316,San Cristobal,EC,-0.39,-78.55,66.2,13.87,75,63,1561503882
317,Port Elizabeth,US,39.31,-74.98,87.01,4.7,1,65,1561504008
318,Khash,IR,28.22,61.21,66.13,6.08,0,16,1561504137
319,Qaqortoq,GL,60.72,-46.03,60.8,6.93,75,51,1561504137
320,Poronaysk,RU,49.22,143.1,60.19,10.69,100,60,1561504138
321,Kruisfontein,ZA,-34.0,24.73,51.91,12.84,77,93,1561504138
322,Les Cayes,HT,18.19,-73.75,81.97,12.24,0,80,1561504138
323,Auki,NG,12.18,6.51,78.01,14.07,57,74,1561504138
324,Yagoua,CM,10.34,15.23,80.35,14.72,100,66,1561504138
325,Ustye,RU,58.76,27.79,57.13,3.51,97,65,1561504138
326,Kidal,ML,18.44,1.41,91.51,7.52,0,11,1561504139
327,Tynda,RU,55.15,124.74,52.63,3.51,40,83,1561504139
328,Sangar,RU,63.92,127.47,67.57,6.35,100,58,1561504139
329,Chambersburg,US,39.94,-77.66,86.0,10.29,1,42,1561504139
330,Concepcion,CO,9.56,-73.66,80.17,3.33,41,84,1561504139
331,Grand-Santi,GF,4.27,-54.38,73.33,2.37,77,99,1561504139
332,Camabatela,AO,-8.19,15.37,56.59,1.32,0,88,1561504140
333,Stokmarknes,NO,68.56,14.91,48.99,8.01,100,77,1561504140
334,Barkot,IN,30.81,78.21,58.21,3.27,13,82,1561504140
335,Cayenne,GF,4.94,-52.33,78.8,4.32,23,88,1561503893
336,Fort-Shevchenko,KZ,44.51,50.26,80.17,12.57,35,75,1561504140
337,Bonavista,CA,48.65,-53.11,50.0,1.99,61,86,1561504140
338,Hay River,CA,60.82,-115.79,64.4,8.05,75,59,1561504140
339,Talnakh,RU,69.49,88.39,39.2,8.95,75,80,1561504141
340,Phan Thiet,VN,10.93,108.1,78.19,4.38,89,85,1561504141
341,Yura,PE,-16.25,-71.68,57.2,11.41,0,41,1561504141
342,Grandview,US,38.89,-94.53,89.01,16.11,1,48,1561504057
343,Bereda,ES,43.27,-7.54,64.4,1.12,0,88,1561504141
344,Ubinskoye,RU,55.31,79.68,58.75,11.48,25,81,1561504142
345,Hamilton,CA,43.26,-79.87,79.0,14.99,40,57,1561504142
346,Oga,NG,8.18,5.65,71.71,5.32,93,94,1561504142
347,Sobolevo,RU,54.43,31.9,55.33,3.09,78,71,1561504142
348,Syracuse,US,43.05,-76.15,80.6,11.41,75,60,1561503937
349,Tarija,BO,-21.53,-64.73,44.6,11.41,90,75,1561504142
350,Antofagasta,CL,-23.65,-70.4,57.2,13.87,20,76,1561504017
351,Grants,US,35.15,-107.85,87.8,13.87,1,6,1561504143
352,Namatanai,PG,-3.66,152.44,81.43,11.56,100,77,1561504143
353,Coquimbo,CL,-29.95,-71.34,53.6,9.17,0,76,1561504143
354,Bayangol,MN,48.91,106.09,56.95,2.04,43,78,1561504143
355,Millbrook,US,32.48,-86.36,91.4,5.82,1,55,1561504143
356,Manokwari,ID,-0.87,134.08,79.27,3.36,79,73,1561504144
357,Belyy Yar,RU,53.6,91.39,55.4,2.24,75,87,1561504144
358,Ayan,TR,40.67,33.6,58.39,3.36,0,87,1561504144
359,Lakatoro,VU,-16.11,167.42,81.79,7.94,100,78,1561504144
360,Maragogi,BR,-9.01,-35.22,69.19,1.9,72,92,1561504144
361,Ryzdvyanyy,RU,45.26,41.84,73.4,6.71,40,64,1561504144
362,Takestan,IR,36.07,49.69,69.8,4.7,0,56,1561504145
363,Altea,ES,38.6,-0.05,75.0,5.82,20,83,1561504056
364,Bintulu,MY,3.17,113.03,77.0,2.24,75,94,1561503974
365,Ust-Nera,RU,64.57,143.24,63.25,2.95,0,36,1561504145
366,Onitsha,NG,6.15,6.79,72.79,2.84,93,97,1561504145
367,Okhotsk,RU,59.36,143.24,61.27,7.49,25,52,1561504145
368,Trairi,BR,-3.28,-39.27,70.27,3.4,1,91,1561504145
369,Portland,US,45.52,-122.67,75.0,6.89,20,40,1561504078
370,Maryborough,AU,-25.54,152.7,61.99,8.5,98,89,1561503890
371,Changping,CN,40.22,116.23,86.0,4.47,0,69,1561504146
372,Aripuana,BR,-9.17,-60.63,78.55,1.74,88,66,1561503903
373,Los Andes,CL,-32.83,-70.6,51.01,2.24,0,39,1561503946
374,Buraydah,SA,26.33,43.97,91.4,5.82,0,17,1561504146
375,Tatishchevo,RU,51.67,45.59,66.0,11.18,0,48,1561504146
376,Digha,IN,21.62,87.51,85.21,23.35,84,81,1561504146
377,Vallenar,CL,-28.58,-70.76,47.77,3.2,0,80,1561504146
378,Syamzha,RU,60.02,41.06,44.35,4.05,46,72,1561504147
379,San Patricio,PY,-26.98,-56.83,47.77,9.01,100,83,1561504147
380,Vieux-Habitants,GP,16.06,-61.77,82.4,9.17,20,69,1561504147
381,Przeworsk,PL,50.06,22.49,70.0,5.82,0,88,1561504147
382,Norman Wells,CA,65.28,-126.83,51.8,14.99,90,81,1561504138
383,Port Washington,US,43.39,-87.88,80.01,14.99,20,61,1561504147
384,Kathmandu,NP,27.71,85.32,73.4,3.36,20,83,1561504010
385,Muros,ES,42.77,-9.06,64.0,3.36,0,93,1561504148
386,Erdenet,MN,49.03,104.04,52.63,4.45,57,51,1561504148
387,Salalah,OM,17.01,54.1,82.4,6.93,75,94,1561504148
388,Itarema,BR,-2.92,-39.92,74.41,6.26,5,83,1561504148
389,Tezu,IN,27.93,96.16,72.61,3.22,100,98,1561504148
390,Cosolapa,MX,18.6,-96.68,66.67,3.76,89,89,1561504148
391,Prado,BR,-17.34,-39.22,67.57,4.7,0,90,1561504149
392,Yongan,CN,39.7,113.69,73.15,3.49,85,39,1561504149
393,Lima,PE,-12.06,-77.04,64.4,12.75,90,77,1561504104
394,Manga,BF,11.67,-1.07,82.51,9.35,19,58,1561504149
395,Gambela,ET,8.25,34.59,67.21,4.88,87,92,1561504150
396,Alyangula,AU,-13.85,136.42,53.6,16.96,100,100,1561504150
397,Sioux City,US,42.5,-96.41,84.0,3.91,40,42,1561504150
398,Maues,BR,-3.38,-57.72,75.85,1.45,74,90,1561503876
399,Brae,GB,60.4,-1.35,50.0,8.05,70,81,1561504150
400,Bowen,AU,-20.01,148.25,68.0,7.36,2,82,1561504150
401,Sulangan,PH,11.14,123.72,83.05,3.78,70,70,1561504150
402,Jacareacanga,BR,-6.22,-57.76,78.37,2.46,100,63,1561504151
403,Guryevsk,RU,54.28,85.93,55.15,5.57,64,86,1561504151
404,Aljezur,PT,37.31,-8.8,69.01,1.01,4,89,1561504151
405,Batagay-Alyta,RU,67.8,130.41,63.79,4.61,99,49,1561504151
406,Nome,US,30.04,-94.42,75.0,4.7,90,94,1561504063
407,Price,US,39.6,-110.81,84.99,12.75,1,9,1561504151
408,Manggar,ID,-2.88,108.27,79.09,4.41,40,91,1561504151
409,Demirci,TR,39.05,28.66,67.75,9.48,0,78,1561504152
410,Pisco,PE,-13.71,-76.2,71.6,13.87,0,30,1561504152
411,Kamenka,RU,53.19,44.05,50.83,6.17,67,87,1561504152
412,Coihaique,CL,-45.58,-72.07,41.0,4.7,90,80,1561504152
413,Akureyri,IS,65.68,-18.09,62.6,13.87,0,48,1561504152
414,Marabba,SD,12.35,32.18,85.39,13.58,58,51,1561504153
415,Ingham,AU,-18.65,146.16,68.29,1.23,33,69,1561504153
416,Nabire,ID,-3.36,135.5,74.05,7.56,100,86,1561504153
417,Arrifes,PT,37.77,-25.7,66.2,12.75,40,77,1561504153
418,Shagamu,NG,6.84,3.65,72.61,1.97,72,98,1561504153
419,Valle de Allende,MX,26.94,-105.39,88.09,10.36,61,17,1561504153
420,Yenangyaung,MM,20.46,94.87,80.71,4.65,97,79,1561504154
421,Anahuac,US,29.77,-94.68,78.01,5.82,75,83,1561504154
422,Moron,VE,10.49,-68.2,73.33,1.92,61,94,1561504154
423,Eyl,SO,7.98,49.82,77.29,25.88,20,71,1561504154
424,Port Augusta,AU,-32.49,137.76,46.0,5.82,0,93,1561504154
425,Awjilah,LY,29.14,21.3,79.09,14.14,0,48,1561504154
426,Dmitriyevka,GE,43.08,41.0,78.19,5.03,1,80,1561504155
427,Rosario do Sul,BR,-30.26,-54.91,44.53,7.29,100,78,1561504155
428,Naze,NG,5.43,7.07,71.53,3.85,96,96,1561504155
429,Prince Rupert,CA,54.32,-130.32,60.8,12.75,1,77,1561503892
430,Antsohihy,MG,-14.88,47.99,73.15,5.59,0,78,1561504155
431,Ahuimanu,US,21.44,-157.84,80.6,5.82,75,100,1561504155
432,Murgab,TM,37.5,61.97,77.0,2.24,0,38,1561504155
433,Pechenga,RU,58.89,41.46,44.17,2.37,34,86,1561504156
434,Cap Malheureux,MU,-19.98,57.61,73.4,10.29,75,83,1561504156
435,Najran,SA,17.54,44.22,86.0,1.72,0,22,1561504156
436,Thung Song,TH,8.16,99.67,76.75,1.54,96,94,1561504156
437,Tura,IN,25.52,90.21,80.17,10.31,100,85,1561504026
438,Torrington,US,42.06,-104.18,84.2,11.41,1,32,1561504156
439,Rumphi,MW,-11.02,33.86,54.43,5.12,37,84,1561504156
440,Santo Andre,BR,-0.91,-46.86,73.33,3.04,46,98,1561504157
441,Bathsheba,BB,13.22,-59.52,82.4,18.34,20,74,1561504157
442,Wanlaweyn,SO,2.62,44.89,72.43,8.97,0,88,1561504157
443,Coahuayana,MX,18.62,-100.35,85.21,2.53,23,67,1561504101
444,Vila Velha,BR,-3.71,-38.6,80.6,9.17,20,78,1561504157
445,Katobu,ID,-4.94,122.53,77.83,4.16,0,71,1561504157
446,Chauk,MM,20.89,94.82,79.81,8.72,100,80,1561504157
447,Turukhansk,RU,65.8,87.96,48.49,7.07,50,56,1561504158
448,Constitucion,MX,23.99,-104.67,79.0,17.22,90,24,1561504158
449,Mount Gambier,AU,-37.83,140.78,39.2,9.17,31,100,1561504030
450,Koungheul,SN,13.98,-14.8,78.19,15.57,0,63,1561504158
451,Saint Anthony,US,43.97,-111.68,80.01,18.34,20,19,1561503956
452,Candolim,IN,15.52,73.76,78.8,4.7,75,94,1561504158
453,Eratira,GR,40.35,21.52,68.0,6.93,0,82,1561504158
454,Bosobolo,CD,4.19,19.88,67.57,1.57,96,96,1561504159
455,Kudahuvadhoo,MV,2.67,72.89,84.31,8.16,90,71,1561504159
456,Selenduma,RU,50.92,106.24,55.51,1.23,64,63,1561504159
457,Kampong Thum,KH,12.71,104.89,80.35,6.24,100,88,1561504159
458,Puerto Madryn,AR,-42.77,-65.04,43.27,14.41,70,51,1561503908
459,Pionerskiy,RU,61.2,62.86,49.21,3.62,59,64,1561504159
460,Deputatskiy,RU,69.3,139.9,70.63,17.63,0,33,1561504077
461,Cuamba,MZ,-14.8,36.54,59.11,6.51,7,93,1561504160
462,Manaia,NZ,-39.55,174.12,60.01,1.01,0,84,1561504160
463,Rock Springs,US,41.59,-109.2,71.6,4.7,1,19,1561504160
464,Mindelo,PT,41.31,-8.72,66.0,8.05,20,93,1561504160
465,Liepaja,LV,56.52,21.02,60.8,2.24,72,93,1561504160
466,Tazovskiy,RU,67.47,78.7,40.39,12.44,23,67,1561504160
467,Bella Union,CO,8.5,-73.35,69.37,4.41,77,95,1561504161
468,Makat,KZ,47.65,53.35,75.49,9.78,100,60,1561504161
469,Umm Lajj,SA,25.02,37.27,87.19,12.82,17,62,1561504161
470,Salamiyah,SY,35.01,37.05,78.37,6.46,0,42,1561504161
471,Port Keats,AU,-14.25,129.55,66.67,16.82,71,22,1561504161
472,Rongcheng,CN,37.16,122.42,82.99,1.01,85,31,1561504161
473,Altay,CN,47.83,88.13,43.27,9.64,0,67,1561504162
474,Soledade,BR,-7.06,-36.37,73.4,9.17,0,69,1561504162
475,Tchollire,CM,8.4,14.17,72.25,7.94,100,96,1561504162
476,Linqiong,CN,30.42,103.46,71.6,0.22,40,100,1561504162
477,Yazd,IR,31.89,54.36,93.2,6.93,0,13,1561503995
478,Dalvik,SE,57.79,14.13,66.2,3.36,0,63,1561504162
479,Atar,MR,20.52,-13.05,96.01,16.28,0,12,1561504163
480,Wamba,CD,2.14,27.99,64.33,1.5,56,99,1561504163
481,Fort Nelson,CA,58.81,-122.69,73.4,3.36,75,43,1561504163
482,Vardo,US,39.62,-77.74,84.2,10.29,1,42,1561504163
483,Bridgetown,CA,44.84,-65.29,73.4,12.75,75,40,1561504163
484,Severo-Yeniseyskiy,RU,60.37,93.04,64.33,2.86,100,75,1561504164
485,Show Low,US,34.25,-110.03,91.99,20.8,1,6,1561504164
486,Acari,BR,-6.44,-36.64,76.21,20.15,65,67,1561504164
487,Ulladulla,AU,-35.36,150.48,50.0,8.05,40,100,1561504164
488,Vilhena,BR,-12.74,-60.15,77.0,4.7,0,61,1561504164
489,Omsukchan,RU,62.53,155.8,61.45,14.09,13,34,1561504164
490,Klaksvik,FO,62.23,-6.59,50.0,8.05,64,93,1561504164
491,Nemuro,JP,43.32,145.57,56.41,7.29,16,89,1561504165
492,Melo,UY,-32.37,-54.17,41.65,7.2,99,82,1561504165
493,Lompoc,US,34.64,-120.46,75.99,9.17,1,72,1561504060
494,Isaka,CD,-2.81,17.72,80.53,2.84,95,43,1561504062
495,Bilibino,RU,68.06,166.44,61.27,13.44,57,21,1561504165
496,Saint-Louis,CH,47.59,7.56,78.8,3.36,0,83,1561504165
497,Faya,SA,18.39,42.45,75.2,3.36,40,46,1561504166
498,Jalu,LY,29.03,21.55,81.97,12.37,0,38,1561504166
499,Siocon,PH,11.03,124.04,84.13,4.34,53,71,1561504166
500,Haimen,CN,31.87,121.18,78.01,1.01,98,89,1561504166
501,Sungaipenuh,ID,-2.08,101.38,74.23,2.55,31,86,1561504166
502,Hai Duong,VN,20.94,106.32,86.0,3.36,20,100,1561504166
503,Launceston,AU,-41.43,147.14,46.0,1.59,2,100,1561504167
504,Ewa Beach,US,21.32,-158.01,80.6,5.82,75,100,1561504167
505,Concarneau,FR,47.88,-3.92,66.99,6.93,90,93,1561504167
506,Ulaanbaatar,MN,47.92,106.92,51.8,5.08,20,71,1561504167
507,Boromo,BF,11.74,-2.93,88.27,8.72,30,47,1561504167
508,Strezhevoy,RU,60.73,77.6,55.4,11.18,0,71,1561504167
509,Aransas Pass,US,27.91,-97.15,82.99,9.17,90,74,1561504168
510,Along,IN,28.17,94.8,60.55,1.68,100,97,1561504168
511,Cabra,ES,37.47,-4.43,77.0,5.82,0,47,1561504168
512,Kuytun,RU,54.34,101.51,54.07,11.16,100,97,1561504168
513,Redmond,US,47.67,-122.12,75.0,6.93,75,31,1561503979
514,Saurimo,AO,-9.66,20.4,60.01,4.16,0,37,1561504168
515,Sembabule,UG,-0.08,31.46,62.71,3.29,88,94,1561504169
516,Henties Bay,NA,-22.12,14.28,51.01,1.99,70,93,1561504047
517,Bitung,ID,1.44,125.19,77.0,3.36,20,83,1561504169
518,Toba,JP,34.47,136.83,82.0,5.82,75,73,1561504169
519,Kambove,CD,-10.88,26.6,54.07,2.77,0,56,1561504169
520,Izumo,JP,35.37,132.75,71.6,5.82,0,72,1561504169
521,Yetkul,RU,54.83,61.59,53.6,11.18,75,93,1561504170
522,Parakou,BJ,9.34,2.63,72.97,8.34,95,91,1561504170
523,Bording,DK,56.15,9.28,71.6,3.36,94,83,1561504170
524,Ruy Barbosa,BR,-12.29,-40.5,66.13,5.79,7,81,1561504170
525,Exeter,GB,50.73,-3.53,64.99,4.7,20,100,1561503974
526,Zunyi,CN,27.73,106.92,70.63,1.81,86,92,1561504170
527,Harper,US,30.3,-99.24,87.01,8.05,40,48,1561504170
528,Maceio,BR,-9.67,-35.74,73.4,2.15,40,78,1561504171
529,Cap-Chat,CA,49.1,-66.68,61.09,6.58,80,58,1561504171
530,Adrar,DZ,27.87,-0.29,98.6,6.93,0,6,1561504172
531,Neiafu,TO,-18.65,-173.98,78.8,6.93,75,78,1561504151
532,Teguise,ES,29.06,-13.56,73.4,8.05,20,78,1561504172
533,Eenhana,NA,-17.48,16.34,64.4,3.36,0,27,1561504172
534,Aksay,RU,47.27,39.86,71.6,13.42,20,35,1561504172
535,Miracema do Tocantins,BR,-9.56,-48.4,75.49,1.86,11,54,1561504172
536,Puerto Penasco,MX,31.32,-113.53,81.0,11.01,25,59,1561504172
537,Adamas,GR,36.73,24.43,79.09,28.07,0,77,1561504173
538,Igbo Ora,NG,7.43,3.28,72.79,3.58,81,97,1561504173
539,Mount Pleasant,US,33.16,-94.97,91.4,12.75,40,58,1561504117
540,San Juan,PH,14.6,121.03,82.4,3.36,75,88,1561504150
541,Abnub,EG,27.27,31.15,86.0,10.29,0,40,1561504174
542,Karasburg,NA,-28.01,18.75,42.73,4.21,0,74,1561504175
543,Baculongan,PH,16.8,120.83,82.69,1.32,95,69,1561504175
544,Padang,ID,-0.92,100.36,82.15,5.08,0,76,1561504175
545,Sola,FI,62.78,29.36,46.99,1.12,0,100,1561504175
